ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/sene6_720.jpg 163,413,235,428,0 163,438,349,454,1 338,385,426,399,7 164,496,296,510,2 163,525,196,539,3 209,524,276,540,4 166,554,300,568,5 167,580,299,603,6 28,611,514,640,8 27,645,519,676,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/53458367.jpg 681,338,934,368,0 683,401,940,434,1 680,526,1050,561,2 680,596,758,633,3 801,594,1152,633,4 672,668,1026,704,5 679,736,1035,780,6 1117,283,1324,315,7 251,854,1574,929,8 251,935,1576,1021,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/55071855.jpg 925,612,1116,662,0 927,710,1250,757,1 925,908,1427,963,2 934,1018,1030,1066,3 1089,1015,1460,1066,4 927,1123,1471,1176,5 927,1224,1467,1279,6 350,1367,2109,1452,8 348,1465,2118,1573,9 1565,546,1864,599,7
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/55072780.jpg 689,1460,893,1501,0 680,1537,1033,1581,1 1287,1359,1584,1398,7 680,1721,1187,1762,2 677,1827,763,1878,3 831,1818,1033,1866,4 665,1931,1202,1990,5 665,2032,1199,2094,6 59,2177,1933,2295,8 62,2313,1944,2432,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/53448543.jpg 595,1544,844,1594,0 595,1635,1011,1688,1 604,1831,1075,1881,2 598,1936,715,1989,3 1225,1454,1576,1518,7 765,1933,1090,1995,4 601,2045,1087,2100,5 601,2144,1102,2214,6 48,2279,1834,2384,8 51,2399,1836,2510,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/53501344.jpg 786,1404,973,1439,0 783,1471,1061,1515,1 783,1626,1146,1670,2 777,1705,850,1746,3 897,1708,1304,1752,4 774,1793,1152,1834,5 780,1866,1157,1925,6 361,1960,1711,2039,8 361,2050,1708,2144,9 1266,1339,1500,1389,7
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/53330104.jpg 849,293,1052,328,0 836,356,1122,395,1 1351,198,1656,243,7 821,503,1225,545,2 816,588,881,633,3 347,867,1965,956,8 349,965,1966,1064,9 950,581,1113,631,4 803,670,1230,718,5 799,748,1232,802,6
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/54969372.jpg 666,1527,844,1571,0 657,1609,1064,1658,1 663,1790,1102,1834,2 669,1884,765,1925,3 815,1884,1002,1930,4 654,1974,1078,2021,5 663,2059,1090,2124,6 195,2170,1766,2258,8 192,2276,1766,2363,9 1213,1451,1529,1503,7
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/sENE7.jpg 872,645,1116,706,0 857,746,1377,807,1 852,972,1397,1037,2 859,1092,971,1149,3 1054,1094,1337,1154,4 839,1220,1405,1281,5 848,1336,1429,1408,6 1590,570,1952,631,7 166,1525,2294,1612,8 168,1630,2294,1740,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/53335883.jpg 800,638,1017,689,0 798,717,1171,763,1 771,897,1280,954,2 760,998,874,1044,3 949,998,1293,1053,4 741,1108,1309,1165,5 730,1209,1311,1272,6 111,1373,2193,1476,8 111,1492,2195,1606,9 1427,572,1734,620,7
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/55098923.jpg 487,859,588,881,0 484,897,619,916,1 493,981,691,1005,2 493,1025,531,1051,3 562,1027,752,1053,4 489,1073,698,1091,5 491,1111,701,1137,6 260,1162,1018,1208,8 260,1216,1018,1269,9 756,824,895,852,7
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/55127009.jpg 640,1639,947,1689,0 637,1728,1194,1778,1 632,1922,1085,1972,2 643,2028,741,2078,3 799,2022,1150,2084,4 643,2134,1097,2187,5 640,2228,1103,2296,6 1235,1551,1542,1613,7 125,2375,1860,2467,8 122,2487,1869,2576,9
ganeyi_detector_for_passport-PascalVOC-export/JPEGImages/image2020-12-27_2014-31-30.jpg 196,193,270,208,0 402,167,512,184,7 198,223,287,238,1 196,286,347,301,2 194,318,230,333,3 245,320,389,339,4 191,352,346,368,5 192,383,347,403,6 11,419,580,454,8 11,457,581,491,9
